Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
39,Female,Master's,Divorced,,732,,Business,Unemployed,15,Poor,0.321895652,146107,1,Jenkinsville,AS,Gibraltar,3,0,Low
44,Male,Bachelor's,Divorced,,650,,Business,Self-employed,2,Excellent,0.552915921,220671,,Baileystad,GU,Serbia,4,2,Low
26,Male,Bachelor's,Divorced,114711,684,43402,Auto,Employed,12,Poor,0.243013522,,1,Martinberg,NC,Bahrain,4,1,Low
55,Male,Master's,Divorced,56380,758,40216,Personal,Self-employed,6,Excellent,0.149673226,179718,1,Riddleville,NM,Mexico,0,2,High
25,Male,Master's,Divorced,62637,782,5785,Home,Employed,9,Excellent,0.439388451,274121,,Sherryhaven,AR,Armenia,3,1,Low
34,Non-binary,PhD,Widowed,35977,715,18554,Auto,Self-employed,12,Excellent,0.584900247,,4,Port Rachelport,SC,Albania,3,1,Low
54,Male,High School,Divorced,117417,690,31631,Personal,Employed,8,Excellent,0.108748948,115543,4,Lake Helenshire,FM,Anguilla,0,2,Low
28,Female,Master's,Married,55985,683,43661,Personal,Employed,13,Fair,0.435383283,247277,2,Kathleenmouth,WY,New Zealand,4,2,Low
28,Female,High School,Married,118979,777,38566,Home,Self-employed,2,Good,0.40848958,75226,3,Jamesside,TX,Liberia,0,1,Low
18,Female,PhD,Widowed,104600,612,45506,Personal,Self-employed,2,Poor,0.317302498,232364,4,Burnettmouth,FL,Congo,0,1,Low
27,Male,PhD,Married,100880,704,16656,Auto,Unemployed,13,Good,0.150136347,121449,0,South Jonathanhaven,DE,Micronesia,3,1,Low
31,Female,Master's,Married,84796,670,42344,Home,Unemployed,3,Good,0.485949304,173406,3,Villegasmouth,MP,Saint Helena,1,0,Low
59,Male,Master's,Divorced,40932,775,48703,Personal,Employed,18,Fair,0.31429093,176305,,Huynhshire,CA,Korea,,1,Low
41,Non-binary,PhD,Single,106348,611,16284,Home,Employed,12,Good,0.282896618,281924,0,Brownborough,SC,Kiribati,1,1,Low
36,Female,Master's,Divorced,42880,661,,Business,Unemployed,1,Excellent,0.27276157,,4,East Joeville,AS,Belgium,3,2,Low
64,Non-binary,Master's,Married,102307,799,11302,Auto,Self-employed,15,Excellent,0.448301541,215528,,Russellshire,WV,Swaziland,2,0,Low
60,Male,Bachelor's,Married,48805,737,13853,Business,Employed,6,Poor,0.278884656,149468,0,West Michaelberg,AK,New Zealand,1,2,Low
32,Male,Bachelor's,Single,86473,758,22117,Auto,Unemployed,11,Good,0.191076446,222848,4,West Catherineport,KS,Trinidad and Tobago,3,1,High
49,Female,Master's,Single,110703,609,,Personal,Self-employed,0,Excellent,0.544188472,152265,3,East Michele,MP,Saint Martin,4,2,Low
67,Male,PhD,Married,91521,725,41269,Home,Self-employed,13,Fair,0.533290791,,3,West Johnmouth,AL,Rwanda,,1,High
44,Non-binary,PhD,Widowed,98347,624,41759,Auto,Employed,13,Poor,0.153736244,124813,4,Elizabethmouth,SC,Ecuador,0,1,High
64,Non-binary,Master's,Divorced,70325,762,48903,Business,Self-employed,18,Fair,0.139648585,69319,4,West Deborah,MP,Christmas Island,0,1,Low
38,Female,High School,Divorced,112301,635,6446,Auto,Employed,10,Good,0.207213102,,2,Wangton,TN,Andorra,1,1,High
39,Female,PhD,Divorced,66806,,12993,Home,Self-employed,17,Fair,0.174855792,136414,3,Weaverchester,WY,Pakistan,,1,Low
39,Male,Bachelor's,Single,114182,788,29990,Business,Self-employed,8,Excellent,0.41174122,109842,4,Davisfort,AS,Andorra,4,0,Low
56,Non-binary,High School,Widowed,102318,620,34290,Home,Unemployed,3,Fair,0.286985992,79526,3,North Anthonyhaven,AL,Taiwan,,0,Low
36,Female,Bachelor's,Single,50161,625,35934,Business,Unemployed,0,Excellent,0.498217589,,3,Julieview,VI,Bolivia,0,2,Low
45,Male,Master's,Married,24942,706,45673,Personal,Unemployed,11,Good,0.409127486,,,Silvaview,AL,Venezuela,2,0,Low
29,Female,Bachelor's,Married,89254,742,32817,Personal,Unemployed,11,Excellent,0.42467678,76648,2,East Brianhaven,AZ,Serbia,,1,Low
42,Male,PhD,Single,115192,767,39562,Personal,Employed,18,Fair,0.166504847,240199,,Georgeshire,KS,Turkey,0,0,Low
43,Non-binary,Bachelor's,Widowed,92468,613,44035,Personal,Unemployed,5,Fair,0.348952539,194785,,Lake Elizabeth,NE,Madagascar,4,2,Low
53,Male,Bachelor's,Divorced,26107,634,5340,Personal,Unemployed,4,Poor,0.488739673,126173,1,Lake Franciscoport,SD,Bahamas,,1,Low
21,Male,PhD,Single,111253,701,42411,Home,Self-employed,12,Fair,0.21019322,,,Lake Johnny,HI,Angola,,0,Low
19,Non-binary,Master's,Divorced,60148,701,21173,Home,Unemployed,8,Excellent,0.567660863,242488,2,Joshuatown,AL,Serbia,,0,Low
34,Male,PhD,Divorced,60730,766,18024,Personal,Self-employed,10,Excellent,0.436476913,156665,,Kingshire,MI,Nepal,0,2,High
38,Female,PhD,Single,84736,750,40252,Business,Employed,0,Excellent,0.296728131,106637,0,Sarahhaven,FL,Ghana,2,0,Low
43,Male,Master's,Single,78209,756,38755,Home,Unemployed,13,Fair,0.138585759,194063,3,Ashleychester,OK,Bhutan,1,1,Low
69,Non-binary,Master's,Married,83202,,20349,Personal,Self-employed,16,Fair,0.108162599,216630,0,Humphreyview,MH,Barbados,0,0,Low
31,Male,High School,Widowed,82103,689,35465,Auto,Self-employed,16,Fair,0.591013706,297612,1,Mcguirestad,MS,Wallis and Futuna,1,2,Low
41,Female,High School,Married,52788,793,40354,Business,Employed,2,Poor,0.269787918,160676,1,South Meganfort,WY,Haiti,3,2,Low
65,Non-binary,High School,Single,106934,663,6604,Business,Unemployed,15,Poor,0.303482204,179799,4,North Steven,NJ,Hong Kong,0,2,High
38,Male,Bachelor's,Divorced,38316,,41320,Personal,Unemployed,2,Poor,0.536111135,70812,1,Jamestown,ID,Northern Mariana Islands,3,1,Low
20,Male,High School,Single,68110,740,38122,Auto,Unemployed,5,Poor,0.513125568,37388,2,Port Kristina,KY,Iraq,,1,Low
41,Non-binary,PhD,Married,63805,795,7989,Business,Unemployed,11,Good,0.23936609,129977,,East Andresmouth,NJ,Korea,2,0,Low
50,Male,PhD,Widowed,26677,751,14708,Business,Employed,7,Good,0.568656345,43175,2,South Michaelbury,SD,Namibia,2,1,Low
45,Female,Master's,Widowed,107638,675,20023,Business,Unemployed,18,Fair,0.269524767,185101,,Arthurtown,PW,Portugal,2,2,High
18,Male,Bachelor's,Married,65520,631,7489,Auto,Unemployed,3,Fair,0.32439398,138398,2,Cameronland,VA,Christmas Island,,0,Low
33,Non-binary,PhD,Widowed,98411,662,12402,Business,Employed,2,Fair,0.293451986,88620,1,Joshuaton,GU,Poland,,0,Low
31,Female,PhD,Divorced,,798,9971,Home,Unemployed,17,Excellent,0.549259838,252169,3,West Kimberly,GU,Saint Martin,3,2,High
59,Female,PhD,Married,31360,779,,Business,Employed,3,Fair,0.304782252,49934,3,West Scottchester,SD,Barbados,1,1,High
40,Male,Bachelor's,Widowed,23487,679,37928,Business,Employed,16,Good,0.548518531,287466,1,Lake Angelashire,IA,South Africa,0,2,Low
64,Male,PhD,Widowed,100543,646,,Auto,Self-employed,12,Fair,0.383381945,283375,1,Lake Susan,ID,Uganda,,0,Low
57,Male,Bachelor's,Married,96202,614,35214,Business,Self-employed,2,Excellent,0.105102513,83968,0,North Elizabethport,MT,Oman,0,2,Low
21,Female,Bachelor's,Married,,608,6243,Personal,Self-employed,11,Fair,0.477054351,196619,4,Sherryport,PW,Northern Mariana Islands,2,1,Low
69,Female,PhD,Single,83872,,11124,Auto,Employed,13,Fair,0.522265968,297429,3,Jeremyshire,FL,Mozambique,3,1,High
43,Female,High School,Single,61798,653,16048,Auto,Employed,5,Fair,0.417949739,30769,1,Port Danielle,PR,Singapore,0,2,High
47,Non-binary,High School,Single,,616,32855,Business,Employed,13,Good,0.16555299,216226,2,Bartonhaven,WA,Palestinian Territory,1,1,Low
47,Female,Master's,Married,78951,615,5741,Business,Unemployed,13,Good,0.387376652,163358,2,Markland,UT,Malawi,,2,Low
33,Male,PhD,Married,,748,15750,Personal,Self-employed,3,Good,0.398268394,,0,Judyberg,CA,Malta,,0,Low
43,Male,Bachelor's,Married,115341,667,43640,Business,Employed,4,Good,0.556176885,98873,0,Lake Caitlin,MO,South Africa,3,1,Low
43,Female,Bachelor's,Divorced,85158,657,,Personal,Self-employed,1,Excellent,0.429120463,167569,1,New Jenniferstad,MT,Turks and Caicos Islands,4,2,Low
22,Female,High School,Widowed,80658,636,31185,Auto,Self-employed,15,Excellent,0.351747482,,,Lake Kathrynland,NM,Lithuania,,1,Low
46,Non-binary,Master's,Divorced,115204,795,,Personal,Employed,17,Good,0.47905945,268185,0,Nancybury,VT,Rwanda,4,0,High
51,Non-binary,PhD,Widowed,96286,616,40806,Personal,Unemployed,11,Good,0.218081795,191862,2,North Monique,IA,Yemen,,2,Low
69,Male,Master's,Divorced,,676,42601,Home,Self-employed,13,Good,0.47362594,241321,3,Zacharymouth,MP,Cote d'Ivoire,0,1,Low
41,Non-binary,Master's,Married,,760,15422,Personal,Employed,1,Good,0.127208799,,1,South Rebeccatown,NM,Libyan Arab Jamahiriya,2,2,High
37,Male,Master's,Single,46570,,10925,Auto,Unemployed,13,Poor,0.193357519,270245,3,Valentineville,CT,Egypt,0,2,Low
20,Male,Master's,Single,106643,777,20627,Personal,Unemployed,4,Poor,0.125001699,187132,,Samanthabury,MS,Puerto Rico,2,0,Low
33,Female,PhD,Single,23260,675,32826,Home,Unemployed,15,Fair,0.520563804,157830,2,Angelashire,KY,Montenegro,3,1,Low
68,Non-binary,PhD,Single,96028,628,33670,Auto,Employed,14,Excellent,0.261733238,226070,4,Amandashire,MO,Nigeria,0,1,High
26,Female,Master's,Widowed,109686,721,29569,Personal,Self-employed,6,Poor,0.27613103,,0,Port Billy,ND,Kuwait,2,2,High
25,Non-binary,High School,Widowed,39861,607,16292,Business,Self-employed,11,Fair,0.578177206,102529,4,South Jeffrey,KY,Argentina,,0,Low
50,Non-binary,Bachelor's,Widowed,38243,768,6526,Home,Employed,11,Excellent,0.401038255,71650,3,Garciachester,MS,Samoa,1,2,Low
53,Male,Master's,Widowed,109622,644,19008,Business,Unemployed,13,Good,0.348430763,113344,2,New Scottburgh,KY,Dominica,4,1,Low
49,Male,Bachelor's,Married,62732,618,36682,Personal,Self-employed,8,Excellent,0.287763063,,3,West Alexander,CT,Burundi,2,2,Low
50,Non-binary,High School,Widowed,77874,,,Home,Employed,10,Excellent,0.592505913,251874,2,Bethanyland,AR,Kenya,1,1,Low
26,Non-binary,High School,Single,46597,620,42293,Personal,Self-employed,7,Good,0.354730426,137565,1,Thompsonborough,VA,Dominican Republic,2,0,Low
60,Female,Master's,Divorced,72483,774,39729,Personal,Unemployed,5,Excellent,0.129155499,203978,2,East Michelleland,DC,Russian Federation,4,1,High
60,Male,Master's,Single,102862,731,13175,Home,Unemployed,15,Poor,0.449028058,258169,,Erikfurt,AR,Denmark,4,0,Low
39,Non-binary,Master's,Married,118637,629,32447,Personal,Self-employed,11,Poor,0.215564319,58746,4,South Roy,OR,Bulgaria,,0,High
19,Female,Master's,Single,110502,655,39218,Auto,Self-employed,1,Good,0.440230337,285565,3,Phillipsville,AL,Montserrat,4,0,Low
20,Female,High School,Widowed,37458,623,20297,Auto,Employed,14,Good,0.515530501,265360,4,Cookeview,ID,Cocos (Keeling) Islands,3,1,Low
61,Female,Master's,Widowed,111713,,10632,Auto,Self-employed,16,Good,0.455008655,123551,3,Martineztown,NY,Gibraltar,0,0,Low
36,Female,Bachelor's,Divorced,79507,739,39825,Home,Unemployed,8,Fair,0.26667546,114379,1,Baileyburgh,NY,Western Sahara,3,2,Low
42,Female,PhD,Widowed,,642,15027,Business,Employed,7,Fair,0.510522553,78364,4,New Rachel,HI,Cambodia,,2,High
30,Male,Master's,Widowed,93673,,31492,Personal,Self-employed,1,Excellent,0.366356587,96273,1,Sherritown,SC,Dominica,0,1,High
41,Female,PhD,Widowed,78973,711,13293,Auto,Self-employed,10,Good,0.312219324,168134,0,West Josehaven,MA,Sri Lanka,4,2,Low
41,Non-binary,Bachelor's,Single,,789,41382,Personal,Unemployed,9,Good,0.372233743,277052,0,Mccarthymouth,MS,Fiji,4,2,Low
35,Non-binary,Master's,Single,81717,766,,Home,Unemployed,6,Fair,0.543451148,117049,4,North Timothymouth,TN,Mali,1,0,Low
50,Female,High School,Single,108281,705,,Personal,Unemployed,9,Excellent,0.284642547,119508,1,Christianbury,CT,Italy,3,0,Low
39,Female,PhD,Married,50029,735,41000,Auto,Employed,6,Poor,0.373572575,36542,,Brittanyshire,NE,Cambodia,2,2,Low
66,Male,High School,Single,41292,627,38343,Home,Self-employed,8,Fair,0.519535087,224860,4,Edwardshaven,KY,Guatemala,0,1,Low
38,Male,High School,Widowed,105823,619,33940,Home,Unemployed,15,Good,0.471213672,,2,New Samanthaborough,GU,Russian Federation,0,1,Low
59,Female,PhD,Divorced,95871,752,46078,Auto,Employed,9,Excellent,0.593315006,,0,Bakerhaven,NY,Belarus,1,0,Low
60,Non-binary,High School,Divorced,78017,689,5201,Business,Employed,16,Poor,0.295911498,295670,2,Masseyshire,PW,Switzerland,1,1,Low
63,Non-binary,Bachelor's,Divorced,83427,621,36723,Personal,Self-employed,19,Excellent,0.556567606,,4,Jeremyville,WA,United States of America,4,2,Low
38,Non-binary,Master's,Widowed,104458,688,17609,Business,Self-employed,18,Fair,0.239254533,245863,1,Jenniferstad,IA,Niger,4,2,Low
37,Male,Bachelor's,Widowed,63352,655,24531,Business,Unemployed,13,Poor,0.117715842,141533,1,West Christopherland,GU,Ecuador,3,1,High
43,Female,Bachelor's,Widowed,75309,,30094,Auto,Self-employed,15,Good,0.134753214,293082,3,Russellfort,VT,Dominica,0,1,Low
49,Non-binary,Bachelor's,Single,112995,617,8923,Auto,Unemployed,14,Good,0.404957686,277622,0,Phillipsburgh,NY,Gambia,0,0,Low
29,Non-binary,High School,Married,62213,719,16036,Personal,Self-employed,18,Fair,0.104980266,173093,4,New Marioberg,FM,Uzbekistan,0,1,Low
40,Non-binary,PhD,Married,45525,666,45392,Personal,Self-employed,8,Fair,0.233718414,197435,2,Johnbury,OR,Vanuatu,0,2,Low
56,Male,Bachelor's,Single,99183,632,39612,Personal,Employed,14,Fair,0.502732251,132900,,South Jennifer,NV,Turkmenistan,,2,Low
52,Male,Bachelor's,Single,97701,747,,Personal,Self-employed,16,Excellent,0.538443647,54060,4,New Corey,MO,Namibia,1,0,Low
67,Female,Bachelor's,Married,46807,607,36247,Personal,Unemployed,8,Excellent,0.136276091,121832,,Peterburgh,MO,Barbados,,2,Low
37,Male,PhD,Divorced,110859,736,6063,Business,Employed,4,Good,0.507729765,264447,2,New Katelynview,ME,South Africa,0,1,Low
52,Male,PhD,Married,64852,602,43555,Personal,Self-employed,17,Excellent,0.361896796,137653,0,Lauraton,NC,Australia,3,0,Low
19,Female,Master's,Widowed,48780,786,7825,Auto,Self-employed,17,Excellent,0.535892142,41669,4,West Sara,PW,Madagascar,4,0,High
51,Female,PhD,Divorced,103336,748,38637,Auto,Employed,11,Excellent,0.142029619,130335,1,Mitchellmouth,MD,Timor-Leste,0,0,Low
67,Male,High School,Single,37197,683,9750,Auto,Self-employed,1,Fair,0.155532228,,1,Craigburgh,AS,Tanzania,2,0,Low
59,Female,PhD,Divorced,113913,639,15709,Business,Unemployed,11,Poor,0.439634221,275907,4,Douglasmouth,AZ,Antarctica (the territory South of 60 deg S),3,1,Low
30,Female,PhD,Widowed,101666,,18528,Personal,Employed,8,Fair,0.182460868,299629,,Lake Lisaburgh,NJ,Zambia,0,1,Low
66,Non-binary,High School,Single,21642,673,48939,Auto,Self-employed,11,Fair,0.19300363,196205,4,North Kristiside,CT,France,1,2,High
31,Female,Bachelor's,Single,103190,628,45865,Personal,Employed,16,Good,0.416988288,147365,,Elijahborough,NE,Qatar,3,1,Low
25,Non-binary,PhD,Widowed,93588,650,15620,Personal,Employed,7,Fair,0.389558732,45571,2,Dawnfurt,IL,Reunion,0,1,Low
21,Male,PhD,Single,97366,728,22118,Auto,Self-employed,2,Excellent,0.529374246,117000,1,Heatherchester,MT,Guadeloupe,1,1,Low
44,Non-binary,Bachelor's,Widowed,44450,724,7177,Personal,Employed,18,Good,0.358384376,237624,4,Lake Timothyland,PW,Azerbaijan,1,0,Low
21,Non-binary,Bachelor's,Divorced,97022,,37881,Auto,Employed,2,Excellent,0.392685997,272950,3,New Vickieland,OH,Andorra,3,2,Low
55,Male,Master's,Widowed,61423,739,21659,Business,Unemployed,1,Fair,0.266154006,130013,3,Greenstad,AS,Guinea,1,0,Low
42,Non-binary,High School,Widowed,118847,777,16319,Auto,Employed,0,Excellent,0.581830759,28155,2,Skinnerville,CO,Haiti,,2,Low
48,Male,Bachelor's,Divorced,,602,5583,Home,Employed,16,Fair,0.174288943,156497,,Lake Alan,VT,Finland,1,0,Low
30,Male,Master's,Widowed,95675,698,40230,Business,Unemployed,15,Good,0.307476404,225855,2,Lake Arielborough,OK,Myanmar,,0,Low
28,Non-binary,Bachelor's,Married,38066,,,Business,Self-employed,18,Good,0.587852018,121459,,Jordanhaven,CO,Botswana,,0,Low
65,Male,Bachelor's,Married,72813,680,9534,Business,Employed,11,Excellent,0.321305855,,3,Kathleenton,WV,Israel,1,1,Low
63,Female,Master's,Widowed,49511,685,23149,Auto,Employed,12,Good,0.406816526,281074,1,Deniseshire,NJ,Grenada,1,0,High
43,Non-binary,PhD,Widowed,33587,731,23707,Home,Employed,3,Poor,0.368762396,235831,2,Larsontown,VT,El Salvador,1,0,Low
66,Female,High School,Divorced,110016,635,18599,Business,Unemployed,2,Fair,0.26446948,,3,Smithburgh,LA,Northern Mariana Islands,2,1,High
41,Non-binary,High School,Divorced,27485,,46225,Personal,Unemployed,3,Good,0.108040701,273457,1,South Bobby,PR,Turkey,4,0,Low
50,Male,Bachelor's,Divorced,,,46309,Business,Employed,10,Good,0.527665926,79242,3,Kimberlytown,CO,South Africa,3,1,Low
48,Non-binary,PhD,Married,40557,647,,Personal,Self-employed,19,Fair,0.287346304,,,Kristymouth,LA,Indonesia,3,0,Low
58,Non-binary,Bachelor's,Single,25461,768,24419,Auto,Self-employed,4,Good,0.587845973,167155,1,Choiberg,WI,Namibia,3,0,High
48,Non-binary,Bachelor's,Single,,,11419,Business,Unemployed,1,Fair,0.257815304,198158,0,East Spencer,AL,Bhutan,4,0,Low
24,Non-binary,Master's,Married,,736,21219,Business,Employed,9,Poor,0.242400066,,,Port Meghanland,KY,Turks and Caicos Islands,3,2,High
42,Female,High School,Divorced,50657,701,,Business,Employed,4,Poor,0.535383014,262877,2,Smithport,NM,Burundi,4,0,Low
46,Female,PhD,Married,118631,732,,Business,Self-employed,4,Poor,0.483835016,189916,2,South Dennismouth,PW,Saudi Arabia,2,0,High
49,Female,High School,Married,118279,685,44812,Home,Self-employed,11,Fair,0.338918648,193205,0,Port Tina,MI,Nauru,2,2,Low
19,Female,Bachelor's,Single,40773,746,37198,Home,Unemployed,0,Good,0.129575753,,1,Williamsport,MI,Gibraltar,3,2,Low
32,Non-binary,PhD,Single,,734,20293,Personal,Self-employed,6,Excellent,0.491535637,154456,3,North Amandaport,ID,Vanuatu,1,1,Low
52,Non-binary,High School,Married,,765,39283,Home,Unemployed,3,Fair,0.453384355,213626,,Mikeberg,MD,South Africa,3,2,Low
64,Male,PhD,Married,,728,7435,Personal,Unemployed,4,Fair,0.226578427,131340,3,East Andrea,MI,Gabon,4,2,Low
68,Male,High School,Married,,636,29463,Personal,Self-employed,12,Good,0.161165248,215274,,Kathleenhaven,NJ,Mayotte,2,0,Low
37,Non-binary,Bachelor's,Married,,635,17464,Personal,Employed,18,Fair,0.270321674,,1,North Johnfurt,NC,Croatia,3,2,Low
34,Male,PhD,Single,69546,701,35235,Business,Employed,11,Poor,0.487150988,170083,1,Michelleton,MS,Netherlands,1,1,Low
69,Female,Master's,Married,31171,650,47262,Auto,Self-employed,12,Excellent,0.489093639,228830,1,Krauseburgh,OH,Kuwait,1,2,Low
44,Male,Master's,Widowed,,663,,Home,Self-employed,16,Excellent,0.127374486,125818,,Port Frances,WI,Myanmar,2,1,Low
56,Non-binary,High School,Married,116706,,7862,Home,Self-employed,18,Excellent,0.203228131,170306,0,Michelleberg,CT,Dominican Republic,1,0,Low
50,Male,PhD,Widowed,78139,,28021,Business,Employed,16,Excellent,0.448533636,113082,2,Port Anthonychester,WV,French Guiana,1,2,Low
45,Non-binary,High School,Divorced,42516,763,,Personal,Self-employed,1,Good,0.481486371,99256,3,New Sean,WV,Nigeria,0,0,Low
67,Non-binary,Bachelor's,Widowed,,,41902,Home,Self-employed,18,Excellent,0.336553761,244663,0,Port Melissa,PR,India,0,2,Low
20,Non-binary,High School,Single,,643,17218,Business,Unemployed,8,Poor,0.140240069,162622,2,East Julia,WV,Canada,3,2,Low
30,Male,PhD,Widowed,41329,,36408,Personal,Self-employed,3,Good,0.191036802,59866,3,West Corey,CT,Namibia,4,2,Low
65,Male,Master's,Married,29321,621,14356,Business,Employed,6,Fair,0.307246528,113839,,Michaelborough,FM,Antigua and Barbuda,3,2,Low
22,Female,High School,Single,79834,690,46415,Home,Unemployed,1,Good,0.360838913,,1,North Judy,VI,Chad,0,0,Low
25,Female,Bachelor's,Married,71030,704,38907,Business,Self-employed,16,Poor,0.404250233,290515,1,Rosschester,MS,Belize,2,2,Low
59,Non-binary,Master's,Married,,698,28142,Auto,Unemployed,11,Good,0.146765475,298551,,East Steve,SD,Djibouti,3,0,Low
51,Male,Bachelor's,Single,47075,742,21389,Auto,Self-employed,2,Fair,0.386571467,21736,2,Parkfort,TX,Western Sahara,2,2,Low
20,Non-binary,High School,Single,107157,,,Business,Employed,14,Fair,0.352866157,299072,3,East Paulshire,VA,Faroe Islands,2,2,High
40,Female,PhD,Married,36017,,13450,Personal,Self-employed,2,Good,0.344326339,260783,0,Oliviachester,HI,United States of America,3,1,Low
60,Female,Bachelor's,Widowed,88513,632,,Personal,Self-employed,8,Good,0.190716518,258459,,Stevenville,CA,United Arab Emirates,4,0,Low
63,Female,High School,Widowed,82820,690,17461,Personal,Employed,18,Excellent,0.189016297,221601,,North Kevin,GU,Slovakia (Slovak Republic),0,2,Low
61,Non-binary,Bachelor's,Single,50982,694,6273,Personal,Unemployed,5,Good,0.501813699,288578,3,West Richard,NJ,Puerto Rico,,1,Low
57,Male,High School,Married,55843,744,36259,Home,Unemployed,1,Poor,0.554835906,41227,1,Deborahville,UT,Yemen,1,0,Low
45,Non-binary,High School,Widowed,56622,732,18256,Home,Unemployed,17,Fair,0.543936911,127768,3,West David,IA,Benin,,1,Low
38,Non-binary,Master's,Widowed,54984,704,,Business,Self-employed,6,Excellent,0.145045791,206622,2,East Christopherborough,NM,United States of America,3,1,Low
50,Male,Master's,Married,62002,647,,Auto,Unemployed,2,Poor,0.230987632,,1,New Stephaniestad,HI,Uruguay,0,0,Low
59,Non-binary,Master's,Married,36488,680,22175,Auto,Unemployed,4,Good,0.466703792,,1,Bowmanfurt,WY,Egypt,3,2,Low
61,Female,PhD,Widowed,87703,607,24188,Business,Self-employed,7,Excellent,0.365229566,202499,2,Sandovalview,CT,Grenada,3,0,Low
21,Non-binary,High School,Single,109515,699,43301,Home,Employed,18,Good,0.544549845,290638,2,New Erica,NC,Lao People's Democratic Republic,,2,Low
46,Female,Master's,Divorced,30847,647,,Home,Self-employed,6,Poor,0.548137296,188960,3,Reedborough,CT,Equatorial Guinea,4,1,Low
30,Male,Bachelor's,Widowed,117384,745,19285,Business,Unemployed,13,Poor,0.167715275,240768,,Allisonborough,NY,Bolivia,,0,Low
30,Non-binary,Bachelor's,Single,88235,,26405,Home,Employed,7,Good,0.505990478,74712,3,Johnbury,NJ,Afghanistan,2,0,Low
44,Non-binary,Master's,Widowed,,704,19255,Home,Unemployed,7,Fair,0.219632767,237231,,Lake Geoffrey,TN,Jordan,3,0,Low
34,Non-binary,Bachelor's,Married,,698,,Business,Employed,7,Excellent,0.463777618,,4,Nelsontown,AZ,Togo,0,0,Low
30,Non-binary,PhD,Single,21144,,36444,Auto,Self-employed,4,Excellent,0.367386681,298935,4,Markton,CT,Singapore,4,0,Low
63,Male,Master's,Single,91973,690,27659,Home,Self-employed,18,Poor,0.415438797,278135,3,West Malloryland,NJ,El Salvador,,0,Low
30,Non-binary,High School,Married,39309,752,24916,Home,Unemployed,17,Fair,0.275057191,209791,0,Mcfarlandton,IN,Algeria,2,0,High
58,Male,Master's,Divorced,,712,,Personal,Self-employed,11,Poor,0.577533098,,0,Travisfurt,AZ,Aruba,1,1,Low
43,Male,Bachelor's,Widowed,53241,745,41564,Home,Self-employed,5,Fair,0.282965233,141762,2,Adamsmouth,VI,Argentina,1,2,Low
66,Male,PhD,Married,81274,638,33375,Personal,Unemployed,13,Poor,0.431314247,173738,2,New Stacy,MA,South Africa,1,2,Low
40,Female,Bachelor's,Divorced,50340,604,40196,Business,Employed,8,Good,0.120125141,288367,0,Port Stevenburgh,OK,Cayman Islands,1,2,Low
51,Non-binary,PhD,Married,40221,690,5207,Business,Unemployed,1,Good,0.133544414,173265,,East Michael,ME,Nicaragua,1,1,Low
54,Female,PhD,Widowed,118598,719,38460,Business,Employed,16,Fair,0.501988619,216857,3,West Angelhaven,MA,Bangladesh,2,0,Low
21,Non-binary,Bachelor's,Married,80262,725,,Home,Employed,11,Good,0.180260161,46998,3,New Patricia,ND,Puerto Rico,2,1,Low
41,Non-binary,Master's,Single,76902,716,,Auto,Self-employed,4,Good,0.400330838,99963,,West Joy,WV,Saudi Arabia,2,0,Low
63,Male,PhD,Married,,765,19073,Auto,Employed,6,Poor,0.528327138,84206,4,Sierraborough,LA,Djibouti,,0,Low
47,Female,Master's,Divorced,78735,769,46961,Business,Self-employed,5,Good,0.501244373,255263,0,Angelicafurt,TN,Colombia,1,0,Low
64,Male,High School,Widowed,119500,725,47174,Business,Self-employed,19,Excellent,0.553357054,235087,2,Jamesfort,LA,Uganda,4,0,Low
33,Non-binary,Master's,Single,55249,,28748,Personal,Employed,0,Excellent,0.112081631,,1,Pamelabury,MN,Switzerland,1,0,Low
57,Non-binary,PhD,Single,27240,703,22663,Home,Unemployed,12,Good,0.592663268,192433,,West Kathleenville,MI,Nigeria,3,2,Low
54,Male,Bachelor's,Married,41143,672,,Home,Unemployed,18,Poor,0.482062725,36457,4,Walkermouth,GA,Greenland,2,0,Low
69,Male,Bachelor's,Widowed,,,17708,Home,Self-employed,13,Good,0.189820545,126922,,Westborough,FM,Falkland Islands (Malvinas),3,2,High
29,Non-binary,High School,Single,66580,614,7325,Home,Unemployed,11,Fair,0.16306733,48605,3,Butlerberg,MO,Costa Rica,2,0,High
28,Non-binary,High School,Widowed,92323,776,41615,Personal,Employed,12,Good,0.577896053,221392,2,Bautistaport,ID,Lao People's Democratic Republic,2,1,Low
28,Male,High School,Single,22583,655,,Business,Self-employed,4,Fair,0.435354403,64826,3,North Jeffrey,CT,Hungary,1,1,High
51,Non-binary,High School,Married,31408,761,24906,Auto,Employed,5,Poor,0.352844923,,2,Wyattmouth,AZ,Colombia,0,1,Low
68,Non-binary,PhD,Single,84587,,,Auto,Self-employed,18,Poor,0.432212426,171569,,Diazhaven,TX,Congo,,0,Low
58,Non-binary,PhD,Married,116917,,33340,Home,Unemployed,0,Good,0.135164034,107853,3,Fordchester,RI,Guernsey,,2,Low
